model,seed,auc,auprc,f1,precision,recall,loss
Transformer,42,0.9762875654665933,0.8719230419367633,0.7960422414613262,0.8350832368557627,0.7604886206645822,0.20409022005207622
Transformer,43,0.9801390368268702,0.8951152526870053,0.808963606694243,0.8460469915859661,0.7749945466443685,0.1635591763734306
Transformer,44,0.9765010184010714,0.8914502798006294,0.8073419027064194,0.8504687940123133,0.7683778084781502,0.1640716758230412
LSTM,42,0.9706156966392995,0.857826661712022,0.7454449965660728,0.8387272727272728,0.6708354540827456,0.20722778820969512
LSTM,43,0.9678514707172885,0.8414246976997035,0.744958709429614,0.7895701025891548,0.7051188831527667,0.1879965544237824
LSTM,44,0.9731845682736282,0.8673454607644531,0.7935460212687936,0.8004734778427166,0.7867374391041955,0.1603056697850563
GRU,42,0.9722794381542093,0.8618679150141554,0.7690900599361719,0.8274432627083159,0.7184250708936232,0.1929532748317771
GRU,43,0.9686593145208339,0.85642270993363,0.6774709270493419,0.8519416138804737,0.5623136770159238,0.19319586082009213
GRU,44,0.9719238342363645,0.8581471435596311,0.7844102178812923,0.8114168026735059,0.7591434596088126,0.17268492304703073
