k,cluster,n,falencia,mortality
2,0,102209,0.13988983357629955,0.09863123599683002
2,1,92530,0.28698800389063006,0.07955257754241868
3,0,69765,0.13188561599655987,0.11213359134236366
3,1,71722,0.29994980619614625,0.08081202420456764
3,2,53252,0.1903966048223541,0.07179073086456847
4,0,67986,0.13232136028005767,0.11334686553113876
4,1,40218,0.3501417275846636,0.10950320751902133
4,2,51704,0.17464799628655422,0.06757697663623705
4,3,34831,0.25106944962820477,0.05276908501047917
5,0,44164,0.13755547504755003,0.07180056154333847
5,1,36466,0.3481599297976197,0.10977348763231504
5,2,36345,0.21323428256981702,0.06903287935066722
5,3,32155,0.25781371481884624,0.053957393873425595
5,4,45609,0.13247385384463592,0.13207919489574427
6,0,42358,0.13503942584635725,0.07243023749940979
6,1,24238,0.43964023434276756,0.11997689578348049
6,2,33679,0.1814483802963271,0.06285816087175986
6,3,27011,0.25678427307393287,0.049868572063233495
6,4,43706,0.1333684162357571,0.1346039445385073
6,5,23747,0.23586137196277424,0.08923232408304207
