dataset,cluster,mortality_rate,falencia_normal_rate,falencia_45_rate,falencia_60_rate,n
eicu,0,0.1133468655311387,0.1033742241049627,0.0519665813549848,0.0519077457123525,67986
eicu,1,0.1095032075190213,0.3054602416828286,0.1494604405987369,0.1474215525386643,40218
eicu,2,0.067576976636237,0.1335293207488782,0.0497447006034349,0.0491838155655268,51704
eicu,3,0.0527690850104791,0.1905773592489449,0.0370933938158536,0.0360598317590652,34831
mimic,0,0.0733820957226904,0.4368739068214342,0.4282079821911274,0.4240737796152011,12578
mimic,1,0.0519039839135352,0.2425537262787482,0.2353902224456453,0.2316827950232499,15914
mimic,2,0.050412226675791,0.32055919444716,0.3135529703131619,0.3094795841887444,30687
mimic,3,0.1343929557495709,0.1528244160883516,0.1481232743825087,0.147750167897918,13401
nwicu,0,0.2320143884892086,0.2011819116135663,0.05344295991778,0.053186022610483,3892
nwicu,1,0.4341463414634146,0.2292682926829268,0.0065040650406504,0.0065040650406504,615
nwicu,2,0.2066013292779092,0.4351695392587585,0.0022530134054297,0.0022530134054297,8877
nwicu,3,0.2418680297397769,0.3348048327137546,0.1814591078066914,0.1800650557620818,4304
